Year,Office,"Election type (RCV, Primary, General, Runoff)",# of Candidates,Candidates (list all) ,Sex/ Gender,Race/ethnicity identified,Source for race/ethnicity,Winner (Y/N),vote share - first round,vote share - final round,Type of verification for race/ethnicity,,,,,,,,,, ,,,,
2010,City Council D8,RCV,3,Gordon Wozniak,M,n/a,,Y,61.03,,n/a,,,,,,,,,,,,,,
2010,City Council D8,RCV,3,Stewart Jones,M,n/a,http://stewartjonesberkeley.blogspot.com/,N,19.33,,n/a,,,,,,,,,,,,,,
2010,City Council D8,RCV,3,Jacquelyn McCormick,F,n/a,,N,19.12,,n/a,,,,,,,,,,,,,,
2008,City Council D2,General,2,Darryl Moore,M,African American,,Y,81.79,,,,,,,,,,,,,,,,
2008,City Council D2,General,2,Jon Crowder,M,n/a,could not find,N,17.08,,n/a,,,,,,,,,,,,,,
2008,City Council D3,General,1,Max Anderson,M,African American,,Y,96.04,,,,,,,,,,,,,,,,
2008,City Council D4,General,5,Jesse Arreguin,M,Latino,,Y,48.29,,,,,,,,,,,,,,,,
2008,City Council D4,General,5,Terry Doran,M,n/a,http://www.berkeleyside.com/2012/01/03/terry-doran-longtime-berkeley-educator-dies/,N,36.85,,n/a,,,,,,,,,,,,,,
2008,City Council D4,General,5,Asa Dodsworth,M,n/a,https://www.facebook.com/Dodsworth4RentBoard,N,6.38,,n/a,,,,,,,,,,,,,,
2008,City Council D4,General,5,L A Wood,M,Undetermined,http://journalism.berkeley.edu/projects/election2002/stories/000173.html,N,5.94,,n/a,,,,,,,,,,,,,,
2008,City Council D4,General,5,"N'Dji ""Jay"" Jockin",M,Undetermined,could not find,N,1.94,,,,,,,,,,,,,,,,
2008,City Council D5,General,2,Laurie Capitelli,M,n/a,,Y,52.35,,n/a,,,,,,,,,,,,,,
2008,City Council D5,General,2,Sophie Hahn,F,n/a,,N,47.47,,n/a,,,,,,,,,,,,,,
2008,City Council D6,General,2,Susan Wengraf,F,n/a,,Y,76.4,,n/a,,,,,,,,,,,,,,
2008,City Council D6,General,2,Phoebe Sorgen,F,n/a,,N,23.2,,n/a,,,,,,,,,,,,,,
2008,Mayor,General,2,Tom Bates,M,n/a,,Y,60.9,,n/a,,,,,,,,,,,,,,
2008,Mayor,General,2,Shirley Dean,F,n/a,http://www.berkeley.edu/news/berkeleyan/1998/1209/dean.html,N,35.94,,n/a,,,,,,,,,,,,,,
2006,City Auditor,General,1,Ann-Marie Hogan,F,n/a,,Y,98.6,,n/a,,,,,,,,,,,,,,
2006,City Council D1,General,2,Linda Maio,F,n/a,,Y,76.22,,n/a,,,,,,,,,,,,,,
2006,City Council D1,General,2,Merrilie Mitchell,F,n/a,,N,22.91,,n/a,,,,,,,,,,,,,,
2006,City Council D4,General,2,Dona Spring,F,n/a,http://www.donaspring.com/,Y,71.2,,n/a,,,,,,,,,,,,,,
2006,City Council D4,General,2,Raudel Wilson,M,n/a,http://www.berkeleydailyplanet.com/issue/2006-10-17/article/25315?headline=Spring-vs.-Wilson-Two-Views-of-District-4--By-Judith-Scherr,N,27.96,,n/a,,,,,,,,,,,,,,
2006,City Council D7,General,2,Kriss Worthington,M,n/a,,Y,52.86,,n/a,,,,,,,,,,,,,,
2006,City Council D7,General,2,George Beier,M,n/a,,N,46.65,,n/a,,,,,,,,,,,,,,
2006,City Council D8,General,2,Gordon Wozniak,M,n/a,,Y,63.09,,n/a,,,,,,,,,,,,,,
2006,City Council D8,General,2,Jason Overman,M,n/a,https://www.linkedin.com/in/jasonoverman,N,36.54,,n/a,,,,,,,,,,,,,,
2006,Mayor,General,4,Tom Bates,M,n/a,,Y,62.77,,n/a,,,,,,,,,,,,,,
2006,Mayor,General,4,Zelda Bronstein,F,n/a,http://www.sfgate.com/bayarea/article/VOTER-S-GUIDE-TO-THE-NOV-7-ELECTION-BERKELEY-2485029.php,N,30.92,,n/a,,,,,,,,,,,,,,
2006,Mayor,General,4,Zachary Runningwolf,M,Native American,,N,4.6,,,,,,,,,,,,,,,,
2006,Mayor,General,4,Christian Pecaut,M,n/a,http://www.berkeleydailyplanet.com/issue/2006-10-20/article/25363?headline=Berkeley-Mayoral-Candidate-Statements-Christian-Pecaut&status=301,N,1.26,,n/a,,,,,,,,,,,,,,
2004,City Council D2,General,2,Darryl Moore,M,African American,,Y,69.65,,,,,,,,,,,,,,,,
2004,City Council D2,General,2,Sharon A. Kidd,F,Undetermined,https://fragilex.org/foundation/team/,N,29.47,,n/a,,,,,,,,,,,,,,
2004,City Council D3,General,3,Max Anderson,M,African American,,Y,57.45,,,,,,,,,,,,,,,,
2004,City Council D3,General,3,Laura Menard,F,Undetermined,http://www.eastbayexpress.com/oakland/laura-menard/Profile?oid=3045772,N,34.35,,n/a,,,,,,,,,,,,,,
2004,City Council D3,General,3,Jeff Benefiel,M,n/a,could not find,N,2.15,,n/a,,,,,,,,,,,,,,
2004,City Council D5,General,3,Laurie Capitelli,M,n/a,,Y,57.82,,n/a,,,,,,,,,,,,,,
2004,City Council D5,General,3,Barbara Gilbert,F,n/a,http://patch.com/california/berkeley/websites-provide-venues-for-citizen-participation,N,26.2,,n/a,,,,,,,,,,,,,,
2004,City Council D5,General,3,Jesse Townley,M,n/a,http://jesse4rentboard.org/,N,15.86,,n/a,,,,,,,,,,,,,,
2004,City Council D6,General,2,Betty Olds,F,Undetermined,http://www.berkeleyside.com/2014/01/13/betty-olds-path/,Y,79.7,,n/a,,,,,,,,,,,,,,
2004,City Council D6,General,2,Norine Smith,F,n/a,http://www.berkeleydailyplanet.com/issue/2005-07-01/article/21757?headline=Norine-Smith-A-Happy-Warrior-for-Causes-Big-and-Small-By-BECKY-O-MALLEY,N,18.37,,n/a,,,,,,,,,,,,,,
2002,City Auditor,General,1,Ann-Marie Hogan,F,n/a,,Y,99.13,,n/a,,,,,,,,,,,,,,
2002,City Council D1,General,2,Linda Maio,F,n/a,,Y,85.54,,n/a,,,,,,,,,,,,,,
2002,City Council D1,General,2,Rhiannon,F,Undetermined,http://www.berkeleyside.com/2013/11/15/the-return-of-rhiannon/,N,13.85,,n/a,,,,,,,,,,,,,,
2002,City Council D4,General,4,Dona Spring,F,n/a,,Y,66.73,,n/a,,,,,,,,,,,,,,
2002,City Council D4,General,4,Bob Migdal,M,Undetermined,http://www.smartvoter.org/2002/11/05/ca/alm/vote/migdal_b/,N,21.11,,n/a,,,,,,,,,,,,,,
2002,City Council D4,General,4,L A Wood,M,Undetermined,,N,9.91,,n/a,,,,,,,,,,,,,,
