Year,Office,"Election type (RCV, Primary, General, Runoff)",# of Candidates,Candidates (list all) ,Sex/ Gender,Race/ethnicity identified,Source for race/ethnicity,Winner (Y/N),vote share - first round,vote share - final round,Type of verification for race/ethnicity,,,,,,,,,, ,,,,
2014,School Director D4,RCV,4,Karl Debro,M,African American,http://democracy.com/karldebro/,N,32.9,47.59,Photo- See H,,,,,,,,,,,,,,
2014,School Director D4,RCV,4,Saleem Shakir-Gilmore,M,African American,http://www.saleem4oakland.us/my_experience,N,20.46,,Photo- See H,,,,,,,,,,,,,,
2014,School Director D4,RCV,4,Cheri Spigner,F,African American,http://www.smartvoter.org/2014/11/04/ca/alm/vote/spigner_c/,N,8.08,,Photo- See H,,,,,,,,,,,,,,
2014,School Director D6,RCV,2,Shanthi Gonzales,F,Latino,http://gonzalesforschools.nationbuilder.com/about_shanthi,Y,58.02,,Photo- See H,,,,,,,,,,,,,,
2014,School Director D6,RCV,2,Renato Almanzor,M,Latino,http://www.renato4schoolboard.com/endorsements,N,41.1,,Photo- See H,,,,,,,,,,,,,,
2012,City Attorney,RCV,2,Barbara Parker,F,African American,http://www.oaklandcityattorney.org/,Y,68.42,,Photo- See H,,,,,,,,,,,,,,
2012,City Attorney,RCV,2,Jane Brunner,F,n/a,http://web.archive.org/web/20130923185812/http://www.janebrunner.com/,N,30.77,,n/a,,,,,,,,,,,,,,
2012,City Council  At Large,RCV,5,Rebecca Kaplan,F,n/a,,Y,45.04,60.7,,,,,,,,,,,,,,,
2012,City Council  At Large,RCV,5,Ignacio De La Fuente,M,Latino,http://www.sfgate.com/bayarea/article/Oakland-council-De-La-Fuente-concedes-4031177.php,N,29.53,39.3,Article,,,,,,,,,,,,,,
2012,City Council  At Large,RCV,5,Carol Lee Tolbert,F,African American,http://www.tolbertatlarge.org/bio.html,N,15.62,,Photo- See H,,,,,,,,,,,,,,
2012,City Council  At Large,RCV,5,Theresa Anderson,F,African American,https://oaklandnorth.net/2012/11/05/meet-oakland-city-council-candidates-an-interactive-map/,N,6.08,,,,,,,,,,,,,,,,
2012,City Council  At Large,RCV,5,Mick Storm,M,n/a,https://oaklandnorth.net/2012/11/05/meet-oakland-city-council-candidates-an-interactive-map/,N,3.16,,n/a,,,,,,,,,,,,,,
2012,City Council D1,RCV,7,Dan Kalb,M,n/a,https://oaklandnorth.net/2012/11/05/meet-oakland-city-council-candidates-an-interactive-map/,Y,28.82,51.78,n/a,,,,,,,,,,,,,,
2012,City Council D1,RCV,7,Amy Lemley,F,n/a,https://oaklandnorth.net/2012/11/05/meet-oakland-city-council-candidates-an-interactive-map/,N,25.31,48.22,n/a,,,,,,,,,,,,,,
2012,City Council D1,RCV,7,Richard Raya,M,Latino,https://oaklandnorth.net/2012/11/05/meet-oakland-city-council-candidates-an-interactive-map/,N,20.01,,Photo- see H,,,,,,,,,,,,,,
2012,City Council D1,RCV,7,"Gordon ""Don"" Link",M,n/a,https://oaklandnorth.net/2012/11/05/meet-oakland-city-council-candidates-an-interactive-map/,N,7.5,,n/a,,,,,,,,,,,,,,
2012,City Council D1,RCV,7,Len Raphael,M,n/a,https://oaklandnorth.net/2012/11/05/meet-oakland-city-council-candidates-an-interactive-map/,N,6.66,,n/a,,,,,,,,,,,,,,
2012,City Council D1,RCV,7,Donald MacLeay,M,n/a,https://oaklandnorth.net/2012/11/05/meet-oakland-city-council-candidates-an-interactive-map/,N,6.49,,Photo- see H,,,,,,,,,,,,,,
2012,City Council D1,RCV,7,Craig Brandt,M,n/a,https://oaklandnorth.net/2012/11/05/meet-oakland-city-council-candidates-an-interactive-map/,N,4.84,,n/a,,,,,,,,,,,,,,
2012,City Council D3,RCV,6,Sean Sullivan,M,n/a,https://oaklandnorth.net/2012/11/05/meet-oakland-city-council-candidates-an-interactive-map/,N,25.99,46.08,n/a,,,,,,,,,,,,,,
2012,City Council D3,RCV,6,Lynette Gibson-McElhaney,F,African American,https://oaklandnorth.net/2012/11/05/meet-oakland-city-council-candidates-an-interactive-map/,Y,23.54,53.92,Photo- see H,,,,,,,,,,,,,,
2012,City Council D3,RCV,6,Nyeisha Dewitt,F,African American,https://oaklandnorth.net/2012/11/05/meet-oakland-city-council-candidates-an-interactive-map/,N,17.68,,Photo- see H,,,,,,,,,,,,,,
2012,City Council D3,RCV,6,Derrick Muhammad,M,African American,https://oaklandnorth.net/2012/11/05/meet-oakland-city-council-candidates-an-interactive-map/,N,14.26,,Photo- see H,,,,,,,,,,,,,,
2012,City Council D3,RCV,6,Alex Miller-Cole,M,Undetermined,https://oaklandnorth.net/2012/11/05/meet-oakland-city-council-candidates-an-interactive-map/,N,9.07,,n/a,,,,,,,,,,,,,,
2012,City Council D3,RCV,6,"Larry Lionel Young, Jr.",M,African American,https://oaklandnorth.net/2012/11/05/meet-oakland-city-council-candidates-an-interactive-map/,N,8.86,,Photo- see H,,,,,,,,,,,,,,
2012,City Council D5,RCV,4,Noel Gallo,M,Latino,https://oaklandnorth.net/2012/11/05/meet-oakland-city-council-candidates-an-interactive-map/,Y,41.02,54.65,n/a,,,,,,,,,,,,,,
2012,City Council D5,RCV,4,Mario Juarez,M,Latino,https://oaklandnorth.net/2012/11/05/meet-oakland-city-council-candidates-an-interactive-map/,N,33.42,45.35,Photo- see H,,,,,,,,,,,,,,
2012,City Council D5,RCV,4,Dawn McMahan,F,n/a,https://oaklandnorth.net/2012/11/05/meet-oakland-city-council-candidates-an-interactive-map/,N,18.24,,n/a,,,,,,,,,,,,,,
