Year,Office,"Election type (RCV, Primary, General, Runoff)",# of Candidates,Candidates (list all) ,Sex/ Gender,Race/ethnicity identified,Source for race/ethnicity,Winner (Y/N),vote share - first round,vote share - final round,Type of verification for race/ethnicity,,,,,,,,,, ,,,,
2012,Board of Supervisors D5,RCV,8,John Rizzo,M,n/a,https://www.facebook.com/pages/John-Rizzo/88306829546?sk=info&tab=page_info,N,16.13,0,n/a,,,,,,,,,,,,,,
2012,Board of Supervisors D5,RCV,8,Julian Davis,M,Undetermined,,N,15.14,0,n/a,,,,,,,,,,,,,,
2012,Board of Supervisors D5,RCV,8,Thea Selby,F,n/a,https://www.ccsf.edu/en/about-city-college/board-of-trustees/theaselby.html,N,13.47,0,n/a,,,,,,,,,,,,,,
2012,Board of Supervisors D5,RCV,8,Daniel Everett,M,African American,http://www.sfgate.com/politics/article/Board-of-Supervisors-Candidate-Questionnaire-3953974.php,N,3.72,0,Photo- see H,,,,,,,,,,,,,,
2012,Board of Supervisors D5,RCV,8,"Andrew ""Ellard"" Resignato",M,n/a,http://www.sfgate.com/politics/article/Board-of-Supervisors-Candidate-Questionnaire-3957301.php,N,2.21,0,n/a,,,,,,,,,,,,,,
2012,Board of Supervisors D5,RCV,8,Hope Johnson,F,n/a,http://www.smartvoter.org/2012/11/06/ca/sf/vote/johnson_h/bio.html,N,1.38,0,n/a,,,,,,,,,,,,,,
2012,Board of Supervisors D7,RCV,9,Norman Yee,M,Asian,http://www.sfbos.org/index.aspx?page=13827,Y,29.18,50.27,Photo- see H,,,,,,,,,,,,,,
2012,Board of Supervisors D7,RCV,9,Francis Xavier Crowley,M,n/a,http://www.fxcrowley.com/about-us/,N,24.65,49.73,n/a,,,,,,,,,,,,,,
2012,Board of Supervisors D7,RCV,9,Michael Garcia,M,n/a,could not find,N,17.52,0,n/a,,,,,,,,,,,,,,
2012,Board of Supervisors D7,RCV,9,Joel Engardio,M,n/a,http://www.engardio.com/#/about/,N,13.29,0,n/a,,,,,,,,,,,,,,
2012,Board of Supervisors D7,RCV,9,Robert J. Squeri,M,Undetermined,,N,4.91,0,n/a,,,,,,,,,,,,,,
2012,Board of Supervisors D7,RCV,9,Julian P. Lagos,M,n/a,https://www.youtube.com/watch?v=favR_BjqU4w,N,3.47,0,n/a,,,,,,,,,,,,,,
2012,Board of Supervisors D7,RCV,9,Andrew Bley,M,Undetermined,could not find,N,2.63,0,,,,,,,,,,,,,,,
2012,Board of Supervisors D7,RCV,9,Lynn Gavin,F,African American,http://ebar.com/news/article.php?sec=news&article=68030,N,2.29,0,Photo- see H,,,,,,,,,,,,,,
2012,Board of Supervisors D7,RCV,9,Glenn Rogers,M,n/a,http://www.sfgate.com/elections/article/Board-of-Supervisors-Candidate-Questionnaire-3964868.php,N,1.9,0,Photo- see H,,,,,,,,,,,,,,
2012,Board of Supervisors D9,RCV,2,David Campos,M,Latino,http://www.sfbos.org/index.aspx?page=2117,Y,95.08,,Photo- see H,,,,,,,,,,,,,,
2012,Board of Supervisors D9,RCV,2,Bud Ryerson,M,Undetermined,http://blog.sfgate.com/cityinsider/2012/10/31/david-campos-finally-has-a-challenger-in-the-district-9-supe-race/,N,0.72,,,Write in candidate,,,,,,,,,,,,,
2011,District Attorney,RCV,5,George Gascon,M,Latino,http://www.sfdistrictattorney.org/biography,Y,41.5,62.26,Website,,,,,,,,,,,,,,
2011,District Attorney,RCV,5,David Onek,M,n/a,https://www.law.berkeley.edu/php-programs/faculty/facultyProfile.php?facID=7079,N,23.64,37.74,n/a,,,,,,,,,,,,,,
2011,District Attorney,RCV,5,Sharmin Bock,F,n/a,http://www.sfbar.org/plebiscite/da-statements/bock.aspx,N,20.66,0,n/a,,,,,,,,,,,,,,
2011,District Attorney,RCV,5,Bill Fazio,M,Pacific Islander (Asian),http://www.sfgate.com/bayarea/article/Bill-Fazio-s-wife-dies-in-American-Samoa-3248170.php,N,10.46,0,Article,,,,,,,,,,,,,,
2011,District Attorney,RCV,5,Vo Vuong Trinh,M,Asian,http://www.smartvoter.org/2011/11/08/ca/sf/vote/trinh_v/,N,3.58,0,Photo- see H,,,,,,,,,,,,,,
2011,Mayor,RCV,16,Ed Lee,M,Asian,http://www.sfmayor.org/,Y,30.72,59.64,Photo- see H,,,,,,,,,,,,,,
2011,Mayor,RCV,16,John Avalos,M,Latino,,N,19.25,40.36,,,,,,,,,,,,,,,
2011,Mayor,RCV,16,Dennis J. Herrera,M,Latino,,N,11.27,0,,,,,,,,,,,,,,,
2011,Mayor,RCV,16,Leland Yee,M,Asian,https://web.archive.org/web/20101026080447/http://asianamerican.net/bios/Yee-Leland.html and http://www.wsj.com/news/articles/SB10001424052748704156304576003860604013634,N,9.21,0,,,,,,,,,,,,,,,
2011,Mayor,RCV,16,Jeff Adachi,M,Asian,http://sfpublicdefender.org/about/jeff-adachi/,N,7.5,0,"Photo and his information is archived in the ""who's who of Asian Americans""",,,,,,,,,,,,,,
2011,Mayor,RCV,16,Bevan Dufty,M,n/a,https://twitter.com/bevandufty,N,4.73,0,n/a,,,,,,,,,,,,,,
2011,Mayor,RCV,16,Tony Hall,M,n/a,https://www.facebook.com/tonyhallsf/,N,3.56,0,n/a,,,,,,,,,,,,,,
2011,Mayor,RCV,16,Michela Alioto-Pier,F,n/a,http://www.sfbos.org/index.aspx?page=1952,N,3.41,0,n/a,,,,,,,,,,,,,,
2011,Mayor,RCV,16,Joanna Rees,F,n/a,http://www.sfgate.com/bayarea/article/Joanna-Rees-running-riding-for-SF-mayor-s-office-2333316.php,N,1.59,0,n/a,,,,,,,,,,,,,,
2011,Mayor,RCV,16,Terry Joan Baum,F,n/a,http://www.sfgreenparty.org/10-campaigns/6-green-party-endorses-terry-joan-baum-for-mayor,N,0.86,0,n/a,,,,,,,,,,,,,,
2011,Mayor,RCV,16,Phil Ting,M,Asian,http://asmdc.org/members/a19/about/biography,N,0.52,0,Photo- see H,,,,,,,,,,,,,,
2011,Mayor,RCV,16,Cesar Ascarrunz,M,Latino,https://www.popuparchive.com/collections/2064/items/15579,N,0.27,0,Website- see H,,,,,,,,,,,,,,
2011,Mayor,RCV,16,Wilma Pang,F,Asian,https://ballotpedia.org/Wilma_Pang#Biography and  and http://www.sfchronicle.com/bayarea/article/District-3-Longshot-Wilma-Pang-hopes-to-make-an-6557350.php,N,0.23,0,,,,,,,,,,,,,,,
2011,Mayor,RCV,16,Emil Lawrence,M,n/a,http://www.sfweekly.com/sanfrancisco/local-politics-night-cabbie-emil-lawrence-runs-for-mayor/Content?oid=2183048,N,0.19,0,Photo- see H,,,,,,,,,,,,,,
2011,Mayor,RCV,16,Paul Currier,M,n/a,https://www.baycitizen.org/profile/paul-currier/,N,0.13,0,n/a,,,,,,,,,,,,,,
2011,Sheriff,RCV,4,Ross Mirkarimi,M,Multiracial,https://en.wikipedia.org/wiki/Ross_Mirkarimi,Y,38.4,53.54,Website,,,,,,,,,,,,,,
2011,Sheriff,RCV,4,Chris Cunnie,M,n/a,http://www.sfgate.com/opinion/editorials/article/SF-sheriff-s-candidate-Chris-Cunnie-is-best-choice-2309728.php,N,28.12,46.46,n/a,,,,,,,,,,,,,,
